"","ID","Gene.description","Gene.type","ENSGID","SYMBOL","KRvsHEALTHY_LFC","KRvsHEALTHY_P","KRvsHEALTHY_FDR","KRvsHEALTHY_sig0","KRvsHEALTHY_sig1","KRvsHEALTHY_sig2","NonKRvsHEALTHY_LFC","NonKRvsHEALTHY_P","NonKRvsHEALTHY_FDR","NonKRvsHEALTHY_sig0","NonKRvsHEALTHY_sig1","NonKRvsHEALTHY_sig2","KRvsNonKR_LFC","KRvsNonKR_P","KRvsNonKR_FDR","KRvsNonKR_sig0","KRvsNonKR_sig1","KRvsNonKR_sig2","KRvsHEALTHY_LFC_ABS","NonKRvsHEALTHY_LFC_ABS","KRvsNonKR_LFC_ABS"
"1","ENSG00000000938","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]","protein_coding","ENSG00000000938","FGR",3.27383606905253,8.07078895718199e-14,7.85658713103453e-12,1,1,1,0.678661046775287,0.155867510474972,0.285356481724758,0,0,0,2.59517502227724,1.53889953596113e-08,1.63096587341689e-06,1,1,1,3.27383606905253,0.678661046775287,2.59517502227724
"2","ENSG00000001626","CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]","protein_coding","ENSG00000001626","CFTR",-0.253365649996975,0.114137956109664,0.180993157567601,0,0,0,-1.04248703852237,1.58957559873333e-07,2.71594589682642e-05,-1,-1,0,0.789121388525395,5.93543221024294e-05,0.000687113754872247,1,0,0,0.253365649996975,1.04248703852237,0.789121388525395
"3","ENSG00000002745","Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]","protein_coding","ENSG00000002745","WNT16",1.92027061667728,7.08012419675344e-12,3.12654180108808e-10,1,1,0,0.450391449112386,0.142011095074865,0.266609862411037,0,0,0,1.4698791675649,9.51288103618813e-07,3.15634285124485e-05,1,1,0,1.92027061667728,0.450391449112386,1.4698791675649
"4","ENSG00000003137","cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]","protein_coding","ENSG00000003137","CYP26B1",0.119615139604893,0.711604494636053,0.782013514275778,0,0,0,0.973025372130983,0.00515473928704916,0.024145781407848,1,0,0,-0.853410232526091,0.0151820505737378,0.0474336919745491,-1,0,0,0.119615139604893,0.973025372130983,0.853410232526091
"5","ENSG00000004799","pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]","protein_coding","ENSG00000004799","PDK4",0.18276236934916,0.257001391283625,0.351210166425941,0,0,0,-0.57722027581998,0.0038308658773096,0.0194706394131148,0,0,0,0.759982645169141,0.000194419929719903,0.00171130724850229,1,0,0,0.18276236934916,0.57722027581998,0.759982645169141
"6","ENSG00000004864","solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]","protein_coding","ENSG00000004864","SLC25A13",0.721915355652181,2.66517194548286e-08,3.58137989763451e-07,1,0,0,-0.0129547360530191,0.924770452211363,0.954898040148366,0,0,0,0.7348700917052,4.78400902987715e-07,1.93712631415756e-05,1,0,0,0.721915355652181,0.0129547360530191,0.7348700917052
"7","ENSG00000004939","solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]","protein_coding","ENSG00000004939","SLC4A1",2.31104464999198,2.70830776803319e-06,1.95688004561287e-05,1,1,1,1.02955165119403,0.0667054388104248,0.154027007556954,0,0,0,1.28149299879795,0.0130670252787636,0.0423791655395344,1,1,0,2.31104464999198,1.02955165119403,1.28149299879795
"8","ENSG00000005020","src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]","protein_coding","ENSG00000005020","SKAP2",1.92815942292098,4.57533362879592e-12,2.16419791466098e-10,1,1,0,0.204829669775557,0.487668731964436,0.63350966728064,0,0,0,1.72332975314542,1.74192155212291e-08,1.75943700640392e-06,1,1,0,1.92815942292098,0.204829669775557,1.72332975314542
"9","ENSG00000005381","myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]","protein_coding","ENSG00000005381","MPO",1.98977132462946,1.90160105472956e-08,2.6939225480485e-07,1,1,0,0.118357642932127,0.774976566982197,0.858569904103247,0,0,0,1.87141368169734,3.89962213780149e-06,8.95639345769935e-05,1,1,0,1.98977132462946,0.118357642932127,1.87141368169734
"10","ENSG00000005486","rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]","protein_coding","ENSG00000005486","RHBDD2",-0.726722401850101,5.34581714618469e-11,1.7071131714681e-09,-1,0,0,-0.0358986694698604,0.742486923038505,0.83569898017432,0,0,0,-0.690823732380241,1.55911061555401e-08,1.63814139503209e-06,-1,0,0,0.726722401850101,0.0358986694698604,0.690823732380241
