"","ID","Gene.description","Gene.type","ENSGID","SYMBOL","ICUvsNON_LFC","ICUvsNON_P","ICUvsNON_FDR","ICUvsNON_sig0","ICUvsNON_sig1","ICUvsNON_sig2","ICUvsNON_LFC_ABS"
"1","ENSG00000077984","cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]","protein_coding","ENSG00000077984","CST7",4.97561666498519,1.24213282872192e-07,0.00020696034165611,1,1,1,4.97561666498519
"2","ENSG00000091106","NLR family CARD domain containing 4 [Source:HGNC Symbol;Acc:HGNC:16412]","protein_coding","ENSG00000091106","NLRC4",4.36823839006172,9.17360500791612e-08,0.00020696034165611,1,1,1,4.36823839006172
"3","ENSG00000101916","toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]","protein_coding","ENSG00000101916","TLR8",5.19594846608068,1.69241813571397e-07,0.00020696034165611,1,1,1,5.19594846608068
"4","ENSG00000115604","interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]","protein_coding","ENSG00000115604","IL18R1",4.06119515991286,4.06025129702709e-08,0.00020696034165611,1,1,1,4.06119515991286
"5","ENSG00000125810","CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855]","protein_coding","ENSG00000125810","CD93",5.16055622996032,1.01016420433289e-07,0.00020696034165611,1,1,1,5.16055622996032
"6","ENSG00000126251","G protein-coupled receptor 42 [Source:HGNC Symbol;Acc:HGNC:4500]","protein_coding","ENSG00000126251","GPR42",6.55554432171251,8.65357225480152e-08,0.00020696034165611,1,1,1,6.55554432171251
"7","ENSG00000126860","ecotropic viral integration site 2A [Source:HGNC Symbol;Acc:HGNC:3499]","protein_coding","ENSG00000126860","EVI2A",3.49771615331089,2.0926222614369e-07,0.00020696034165611,1,1,1,3.49771615331089
"8","ENSG00000154589","lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]","protein_coding","ENSG00000154589","LY96",2.92409918463897,1.84710627486973e-07,0.00020696034165611,1,1,1,2.92409918463897
"9","ENSG00000155307","SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:HGNC:10528]","protein_coding","ENSG00000155307","SAMSN1",5.8021470221138,7.19256328399624e-08,0.00020696034165611,1,1,1,5.8021470221138
"10","ENSG00000163563","myeloid cell nuclear differentiation antigen [Source:HGNC Symbol;Acc:HGNC:7183]","protein_coding","ENSG00000163563","MNDA",5.18628216038235,1.18309356086603e-07,0.00020696034165611,1,1,1,5.18628216038235
